title,title_img,content
ITe Quiz 1,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FCitkU%2FbtsnIKs4R0u%2FodqSwsyzc0r8jMgadX2gCK%2Fimg.png,소프트웨어와 하드웨어에 대한 문제를 풀어보세요!
ITe Quiz 2,https://blog.kakaocdn.net/dn/o4Y3Q/btsnGZD2NgU/EIQaMXnXxXkj07z6LvjKS1/img.png,웹에 대해서 문제를 풀어보세요!
ITe Quiz 3,https://blog.kakaocdn.net/dn/WgFUH/btsnF7oPNc5/ImneGxlwACvlf4wZd8NUO1/img.png,운영체제에 대한 문제를 풀어보세요!
ITe Quiz 4,https://blog.kakaocdn.net/dn/cCjvXK/btsnEWIiXvd/036E9ZO1CrHnThkoyeQGek/img.png,데이터베이스에 대한 문제를 풀어보세요!
ITe Quiz 5,https://blog.kakaocdn.net/dn/EO6zv/btsnEMFK2Nt/nJubASqtRK5zdqVMortro0/img.png,자료구조에 대한 문제를 풀어보세요!
ITe Trend,https://blog.kakaocdn.net/dn/49s5K/btsnFL0yw1C/QXAJFvjqBoUHwDhMOs1yTK/img.png,ITe Trend 문제를 풀어보세요!
C,https://i.namu.wiki/i/KcqDuQYTxNpUcLIMZTg28QXse0XiWx1G7K68kYYCo1GuhoHmhB_V8Qe9odGGt0BH9-0nQZTN53WXTNpDmwVfWQ.svg,C언어에 대한 문제를 풀어보세요!
Python,https://blog.kakaocdn.net/dn/bkW9WF/btqUUqEfEIe/DPIdxrtKafxzW1fjbhO1K1/img.png,Python에 대한 문제를 풀어보세요!
Java,https://i.namu.wiki/i/MuCO_ocla-FyadGnRZytkRLggQOcqxv_hXNjN7aYXDOPivIChJNdiRXp6vwSXbM6GcUL3pVTL-5U5TKQ0f1YhA.svg,자바에 대한 문제를 풀어보세요!
